chart,series,x_value,x_label,metric,value_share,value_pct,source
cohort_funnel,4h:week_1_retention,2,,week_1_retention,0.684672,68.467,report/index.html
cohort_funnel,4h:week_4_retention,2,,week_4_retention,0.352555,35.255,report/index.html
cohort_funnel,4h:new_wallets,3,Jan. 19,new_wallets,,255,report/index.html
cohort_funnel,4h:week_1_retention,3,Jan. 19,week_1_retention,0.698175,69.818,report/index.html
cohort_funnel,4h:week_4_retention,3,Jan. 19,week_4_retention,0.454745,45.474,report/index.html
cohort_funnel,4h:new_wallets,4,,new_wallets,,244,report/index.html
cohort_funnel,4h:week_1_retention,4,,week_1_retention,0.692701,69.27,report/index.html
cohort_funnel,4h:week_4_retention,4,,week_4_retention,0.336131,33.613,report/index.html
cohort_funnel,4h:new_wallets,5,,new_wallets,,325,report/index.html
cohort_funnel,4h:week_1_retention,5,,week_1_retention,0.677007,67.701,report/index.html
cohort_funnel,4h:week_4_retention,5,,week_4_retention,0.233942,23.394,report/index.html
cohort_funnel,4h:new_wallets,6,Feb. 9,new_wallets,,366,report/index.html
cohort_funnel,4h:week_1_retention,6,Feb. 9,week_1_retention,0.625547,62.555,report/index.html
cohort_funnel,4h:week_4_retention,6,Feb. 9,week_4_retention,0.177737,17.774,report/index.html
cohort_funnel,4h:new_wallets,7,,new_wallets,,420,report/index.html
cohort_funnel,4h:week_1_retention,7,,week_1_retention,0.516788,51.679,report/index.html
cohort_funnel,4h:week_4_retention,7,,week_4_retention,0.214234,21.423,report/index.html
cohort_funnel,4h:new_wallets,8,,new_wallets,,297,report/index.html
cohort_funnel,4h:week_1_retention,8,,week_1_retention,0.565693,56.569,report/index.html
cohort_funnel,4h:week_4_retention,8,,week_4_retention,0.343431,34.343,report/index.html
cohort_funnel,4h:new_wallets,9,Mar. 2,new_wallets,,294,report/index.html
cohort_funnel,4h:week_1_retention,9,Mar. 2,week_1_retention,0.64635,64.635,report/index.html
cohort_funnel,4h:week_4_retention,9,Mar. 2,week_4_retention,0.295985,29.599,report/index.html
cohort_funnel,4h:new_wallets,10,,new_wallets,,269,report/index.html
cohort_funnel,4h:week_1_retention,10,,week_1_retention,0.613504,61.35,report/index.html
cohort_funnel,4h:week_4_retention,10,,week_4_retention,0.312409,31.241,report/index.html
cohort_funnel,4h:new_wallets,11,,new_wallets,,275,report/index.html
cohort_funnel,4h:week_1_retention,11,,week_1_retention,0.716423,71.642,report/index.html
cohort_funnel,4h:week_4_retention,11,,week_4_retention,0.458029,45.803,report/index.html
cohort_funnel,4h:new_wallets,12,Mar. 23,new_wallets,,209,report/index.html
cohort_funnel,4h:week_1_retention,12,Mar. 23,week_1_retention,0.664964,66.496,report/index.html
cohort_funnel,4h:week_4_retention,12,Mar. 23,week_4_retention,0.330292,33.029,report/index.html
cohort_funnel,4h:new_wallets,13,,new_wallets,,274,report/index.html
cohort_funnel,4h:week_1_retention,13,,week_1_retention,0.554745,55.474,report/index.html
cohort_funnel,4h:week_4_retention,13,,week_4_retention,0.233577,23.358,report/index.html
cohort_funnel,4h:new_wallets,14,,new_wallets,,288,report/index.html
cohort_funnel,4h:week_1_retention,14,,week_1_retention,0.645985,64.599,report/index.html
cohort_funnel,4h:week_4_retention,14,,week_4_retention,0.211679,21.168,report/index.html
cohort_funnel,4h:new_wallets,15,Apr. 13,new_wallets,,315,report/index.html
cohort_funnel,4h:week_1_retention,15,Apr. 13,week_1_retention,0.527007,52.701,report/index.html
cohort_funnel,4h:week_4_retention,15,Apr. 13,week_4_retention,0.203285,20.328,report/index.html
cohort_funnel,4h:new_wallets,16,,new_wallets,,237,report/index.html
cohort_funnel,4h:week_1_retention,16,,week_1_retention,0.561314,56.131,report/index.html
cohort_funnel,4h:week_4_retention,16,,week_4_retention,0.202555,20.255,report/index.html
cohort_funnel,4h:new_wallets,17,,new_wallets,,226,report/index.html
cohort_funnel,4h:week_1_retention,17,,week_1_retention,0.513139,51.314,report/index.html
cohort_funnel,4h:new_wallets,18,May 4,new_wallets,,158,report/index.html
cohort_funnel,4h:week_1_retention,18,May 4,week_1_retention,0.64562,64.562,report/index.html
cohort_funnel,4h:new_wallets,19,,new_wallets,,97,report/index.html
cohort_funnel,4h:week_1_retention,19,,week_1_retention,0.536131,53.613,report/index.html
cohort_funnel,4h:new_wallets,20,,new_wallets,,105,report/index.html
cohort_funnel,4h:week_1_retention,20,,week_1_retention,0.6,60.0,report/index.html
cohort_funnel,4h:new_wallets,21,Jun 1,new_wallets,,302,report/index.html
cohort_funnel,4h:week_1_retention,21,Jun 1,week_1_retention,0.736861,73.686,report/index.html
cohort_funnel,4h:new_wallets,22,,new_wallets,,170,report/index.html
cohort_funnel,4h:week_1_retention,22,,week_1_retention,0.625912,62.591,report/index.html
cohort_funnel,4h:new_wallets,23,,new_wallets,,93,report/index.html
