venue,week,category,volume_usd
polymarket,2026-03-09,culture,35924921.485484
polymarket,2026-03-09,stem,16358816.046163
polymarket,2026-03-09,financials,25785085.265104
polymarket,2026-03-09,economics,30636594.216716
polymarket,2026-03-09,other,82989.007097
polymarket,2026-03-16,sports,559447999.718206
polymarket,2026-03-16,crypto,315123898.777001
polymarket,2026-03-16,politics,132865686.804015
polymarket,2026-03-16,culture,26003116.477704
polymarket,2026-03-16,stem,20877649.940896
polymarket,2026-03-16,financials,18770808.951205
polymarket,2026-03-16,economics,26291093.487669
polymarket,2026-03-16,other,12837.481969
polymarket,2026-03-23,sports,394704231.017506
polymarket,2026-03-23,crypto,326205417.625519
polymarket,2026-03-23,politics,195741534.160516
polymarket,2026-03-23,culture,22406045.387207
polymarket,2026-03-23,stem,23678959.933727
polymarket,2026-03-23,financials,32435234.133331
polymarket,2026-03-23,economics,8782664.000164
polymarket,2026-03-23,other,3178.201664
polymarket,2026-03-30,sports,383421101.839226
polymarket,2026-03-30,crypto,249989362.882641
polymarket,2026-03-30,politics,182872223.569361
polymarket,2026-03-30,culture,15909822.279568
polymarket,2026-03-30,stem,13675096.003128
polymarket,2026-03-30,financials,20332890.693436
polymarket,2026-03-30,economics,6304648.481211
polymarket,2026-03-30,other,6579.599114
polymarket,2026-04-06,sports,397129966.559681
polymarket,2026-04-06,crypto,130118689.772642
polymarket,2026-04-06,politics,366128152.903965
polymarket,2026-04-06,culture,11510008.37288
polymarket,2026-04-06,stem,16110761.190052
polymarket,2026-04-06,financials,15894094.363004
polymarket,2026-04-06,economics,7525857.454559
polymarket,2026-04-06,other,0.0
polymarket,2026-04-13,sports,360052511.50363
polymarket,2026-04-13,crypto,116086819.459437
polymarket,2026-04-13,politics,182029992.317094
polymarket,2026-04-13,culture,13383861.49498
polymarket,2026-04-13,stem,16771243.641656
polymarket,2026-04-13,financials,15034147.11367
polymarket,2026-04-13,economics,9413145.117425
polymarket,2026-04-13,other,7.5
polymarket,2026-04-20,sports,439679311.544581
polymarket,2026-04-20,crypto,211968738.830613
polymarket,2026-04-20,politics,174381249.38957
polymarket,2026-04-20,culture,13960190.203902
polymarket,2026-04-20,stem,25586366.073578
polymarket,2026-04-20,financials,14619504.583759
polymarket,2026-04-20,economics,10127583.574229
polymarket,2026-04-20,other,0.0
polymarket,2026-04-27,sports,364357790.320647
polymarket,2026-04-27,crypto,154146133.337197
polymarket,2026-04-27,politics,167558771.091255
polymarket,2026-04-27,culture,19210428.351657
polymarket,2026-04-27,stem,21153444.307201
polymarket,2026-04-27,financials,23426099.200288
polymarket,2026-04-27,economics,16066059.488473
polymarket,2026-04-27,other,24.800795
polymarket,2026-05-04,sports,358108639.437485
polymarket,2026-05-04,crypto,150768020.297354
polymarket,2026-05-04,politics,230947639.293887
polymarket,2026-05-04,culture,12467943.887603
polymarket,2026-05-04,stem,26089495.984423
polymarket,2026-05-04,financials,14622249.249707
polymarket,2026-05-04,economics,2178592.978407
polymarket,2026-05-04,other,0.0
polymarket,2026-05-11,sports,386065663.632152
polymarket,2026-05-11,crypto,149252403.940968
polymarket,2026-05-11,politics,118269768.791629
polymarket,2026-05-11,culture,25168730.329449
polymarket,2026-05-11,stem,23284246.615607
polymarket,2026-05-11,financials,10880471.707496
polymarket,2026-05-11,economics,2673225.759304
polymarket,2026-05-11,other,5.951175
polymarket,2026-05-18,sports,370154999.427822
polymarket,2026-05-18,crypto,151571617.672685
polymarket,2026-05-18,politics,146987060.056558
polymarket,2026-05-18,culture,12547825.162433
polymarket,2026-05-18,stem,15318113.20722
polymarket,2026-05-18,financials,12923325.570045
polymarket,2026-05-18,economics,2626352.562369
polymarket,2026-05-18,other,102568.896258
polymarket,2026-05-25,sports,386191023.486105
polymarket,2026-05-25,crypto,142797094.497831
polymarket,2026-05-25,politics,122849226.00763
polymarket,2026-05-25,culture,8613815.90798
polymarket,2026-05-25,stem,20557255.935062
polymarket,2026-05-25,financials,15089000.383329
polymarket,2026-05-25,economics,2982060.553701
polymarket,2026-05-25,other,28912.207318
polymarket,2026-06-01,sports,315518004.953571
polymarket,2026-06-01,crypto,363021223.507865
polymarket,2026-06-01,politics,88648034.729171
polymarket,2026-06-01,culture,6968508.834855
polymarket,2026-06-01,stem,17664526.845135
polymarket,2026-06-01,financials,10253265.423756
polymarket,2026-06-01,economics,4985731.422561
polymarket,2026-06-01,other,1163.119716
polymarket,2026-06-08,sports,533331040.013546
polymarket,2026-06-08,crypto,136856862.777952
polymarket,2026-06-08,politics,133272144.255294
polymarket,2026-06-08,culture,6620708.71411
polymarket,2026-06-08,stem,19263408.732376
polymarket,2026-06-08,financials,18845657.801278
polymarket,2026-06-08,economics,7976575.705039
polymarket,2026-06-08,other,0.8
polymarket,2026-06-15,sports,856885403.790933
polymarket,2026-06-15,crypto,144669844.878032
polymarket,2026-06-15,politics,195718612.071659
polymarket,2026-06-15,culture,5340409.909005
polymarket,2026-06-15,stem,17934453.042408
polymarket,2026-06-15,financials,14490455.91631
polymarket,2026-06-15,economics,20901731.557007
polymarket,2026-06-15,other,106.29955
polymarket,2026-06-22,sports,836935208.675544
polymarket,2026-06-22,crypto,151236290.020553
polymarket,2026-06-22,politics,79377241.721364
polymarket,2026-06-22,culture,5185454.623168
polymarket,2026-06-22,stem,22821422.647163
polymarket,2026-06-22,financials,7422940.724026
polymarket,2026-06-22,economics,3006888.188173
polymarket,2026-06-22,other,2924.575391
